X,Y
0,38.7368
1,37.2632
2,34.8947
3,37.9211
4,37.0263
5,36.9474
6,36.3684
7,35.3158
8,35.1579
9,41.0263
10,37.1579
11,36.6842
12,34.2105
13,39.2632
14,37.5263
15,36.3158
16,37.2632
17,36.8158
18,36.9474
19,39.7368
20,35.7632
21,36.1579
22,35.5526
23,37.7368
24,33.3947
25,36.2895
26,39.0263
27,36.0789
28,38.0263
29,37.6316
30,33.6316
31,36.8947
32,33.4211
33,37.4737
34,36.9474
35,35.3947
36,39.8158
37,36.3158
38,40.0789
39,39.7368
40,36.7632
41,44.2368
42,39.7895
43,40.8421
44,35.5789
45,35.7895
46,40.1579
47,38.5526
48,39.3421
49,39.2632
50,35.5526
51,41.3947
52,36.8421
53,38.5000
54,36.2895
55,38.9211
56,38.8684
57,35.6579
58,39.1316
59,40.6842
60,37.7895
61,38.3158
62,36.9737
63,38.2895
64,38.9211
65,38.3947
66,39.6579
67,37.4737
68,39.8421
69,37.8684
70,35.5789
71,38.1579
72,37.8421
73,38.9474
74,39.3421
75,38.9737
76,40.9211
77,37.7895
78,41.0000
79,41.7105
80,37.6842
81,39.8421
82,43.5526
83,44.2632
84,42.9737
85,47.4737
86,46.0789
87,49.2895
88,45.4211
89,43.3158
90,43.0526
91,41.9211
92,41.1053
93,42.1842
94,40.7105
95,40.0263
96,39.9737
97,41.2105
98,39.9737
99,38.7895
100,39.1316
101,39.2632
102,38.8947
103,42.0789
104,41.9737
105,39.6579
106,39.9211
107,38.4737
108,41.0000
109,41.3421
110,38.8684
111,42.8158
112,40.1579
113,42.5000
114,41.6579
115,41.1053
116,42.8684
117,36.1842
118,41.1579
119,42.1842
120,39.8947
121,40.6316
122,37.9211
123,41.1579
124,38.8158
125,42.0000
126,43.0789
127,40.7895
128,41.6579
129,43.0263
130,42.4211
131,36.6316
132,42.5263
133,38.1842
134,41.3421
135,43.0526
