X,Y
0,0.000
1,0.000
2,0.000
3,0.000
4,2.500
5,13.950
6,12.100
7,15.900
8,30.650
9,30.900
10,40.150
11,48.350
12,61.050
13,67.350
14,66.400
15,73.950
16,72.750
17,74.650
18,80.350
19,82.850
20,85.150
21,87.350
22,79.900
23,83.500
24,69.550
25,68.650
26,62.950
27,49.450
28,42.950
29,46.650
30,46.500
31,55.600
32,66.150
33,57.400
34,49.050
35,46.800
36,59.950
37,66.300
38,62.750
39,58.550
40,42.950
41,43.950
42,38.400
43,37.450
44,39.350
45,37.150
46,36.900
47,43.500
48,39.900
49,47.050
50,46.400
51,39.500
52,38.050
53,42.050
54,43.950
55,39.200
56,41.600
57,41.900
58,41.200
59,40.550
60,44.300
61,41.100
62,43.350
63,45.450
64,47.850
65,48.900
66,46.300
67,47.950
68,45.650
69,42.550
70,49.250
71,47.300
72,45.850
73,46.850
74,49.200
75,47.900
76,46.600
77,45.500
78,44.000
79,48.700
80,44.650
81,49.350
82,50.750
83,50.850
84,44.700
85,44.400
86,44.500
87,38.700
88,40.250
89,47.300
90,47.500
91,47.300
92,50.800
93,46.400
94,57.100
95,50.200
96,57.200
97,59.900
98,50.100
99,50.000
100,52.900
101,51.200
102,52.250
103,56.000
104,50.000
105,48.250
106,58.200
107,52.500
108,49.650
109,57.200
110,60.600
111,56.750
112,56.100
113,62.700
114,59.650
115,61.150
116,64.650
117,56.900
118,56.100
119,60.550
120,64.150
121,62.100
122,62.400
123,60.050
124,55.150
125,55.800
126,59.200
127,59.450
128,62.500
129,60.200
130,61.100
131,64.600
132,67.950
133,63.250
134,61.400
135,60.900
136,65.600
137,70.500
138,69.100
139,62.250
140,69.900
141,69.300
142,67.200
143,66.600
144,70.300
145,55.500
146,68.250
147,71.850
148,64.900
149,67.400
150,67.600
151,73.050
152,69.200
153,66.350
154,79.000
155,73.600
156,78.200
157,77.450
158,83.500
159,80.300
160,99.400
161,101.600
162,92.950
163,101.250
164,109.650
165,108.250
166,112.850
167,100.500
168,97.700
169,112.900
170,122.200
171,124.850
172,115.950
173,102.950
174,83.900
175,92.450
176,110.050
177,87.600
178,94.100
179,98.650
180,96.800
181,94.250
182,91.750
183,97.750
184,91.950
185,99.800
186,98.650
187,103.700
188,100.800
189,96.400
190,105.650
191,93.150
192,99.200
193,99.800
194,87.300
195,98.300
196,87.700
197,88.400
198,87.450
199,82.150
200,73.450
201,60.250
202,48.500
203,43.250
204,37.400
205,33.300
206,31.200
207,16.400
208,18.850
209,3.400
210,15.650
211,14.850
