X,Y
0,23.0000
1,24.2500
2,27.5357
3,32.2500
4,42.6071
5,45.7143
6,49.6786
7,46.6786
8,46.8929
9,47.2500
10,44.7857
11,41.7143
12,41.3571
13,40.3571
14,41.1071
15,39.2143
16,41.6786
17,41.9286
18,45.4643
19,43.0357
20,47.2500
21,47.3929
22,46.5714
23,45.7500
24,43.2500
25,42.3571
26,42.6786
27,44.4286
28,45.8214
29,41.4286
30,48.0714
31,44.3929
32,46.6429
33,43.5714
34,42.3214
35,42.8929
36,41.3929
37,43.6429
38,44.5000
39,44.5000
40,46.7857
41,48.7500
42,50.6786
43,47.7143
44,46.8929
45,46.9286
46,42.7857
47,42.1786
48,43.2143
49,42.3571
50,41.2143
51,43.5714
52,46.2857
53,46.4643
54,44.9643
55,48.1429
56,44.3214
57,44.5357
58,41.2500
59,40.8929
60,41.3929
61,43.7143
62,44.1071
63,45.9643
64,47.7143
65,45.6786
66,47.2857
67,49.7143
68,49.2857
69,45.5357
70,43.9643
71,41.6429
72,43.9643
73,44.9286
74,46.8214
75,46.3929
76,46.7500
77,44.6429
78,46.6071
79,46.6429
80,46.1786
81,47.8214
82,43.0357
83,48.2500
84,50.1071
85,45.3571
86,47.3571
87,44.7500
88,42.7500
89,46.8571
90,46.7143
91,47.8214
92,49.9643
93,45.9643
94,47.4643
95,48.6429
96,49.8571
97,50.7500
98,50.1429
99,49.4643
100,51.0357
101,48.9286
102,50.6071
103,48.4643
104,50.1786
105,51.1429
106,51.9286
107,51.2143
108,50.8571
109,49.5714
110,52.4643
111,52.7143
112,54.2143
113,54.5000
114,50.6071
115,53.8929
116,56.7500
117,54.2143
118,54.0714
119,55.4286
120,57.9286
121,57.7857
122,55.1071
123,55.1071
124,58.3214
125,50.8214
126,54.9286
127,54.3571
128,54.7500
129,54.0714
130,55.3571
131,54.5357
132,53.5000
133,53.9643
134,53.5714
135,50.9286
136,51.9643
137,53.4286
138,52.7500
139,52.3929
140,51.9286
141,54.0357
142,55.2857
143,55.1786
144,59.4643
145,61.1429
146,61.0000
147,60.0714
148,64.3929
149,61.8929
150,63.3214
151,64.9643
152,63.8571
153,69.1786
154,66.6071
155,67.6786
156,62.3214
157,60.8929
158,64.8929
159,65.3571
160,63.6071
161,68.5357
162,65.7500
163,64.3571
164,59.7500
165,58.0357
166,56.6429
167,55.6429
168,54.6429
169,53.6429
170,53.0357
171,49.7857
172,42.0714
173,38.4643
174,32.2500
175,28.6071
176,23.2500
177,17.0714
