X,Y
0,18.4000
1,20.6667
2,23.4000
3,33.2667
4,31.0667
5,29.4000
6,37.7333
7,41.6667
8,42.7333
9,48.0000
10,50.7333
11,51.6000
12,52.3333
13,52.1333
14,54.7333
15,55.0000
16,55.2667
17,55.9333
18,55.7333
19,58.4667
20,53.3333
21,52.9333
22,51.5333
23,51.1333
24,52.8000
25,51.6000
26,47.0000
27,49.7333
28,52.4000
29,59.1333
30,69.8000
31,66.2667
32,56.9333
33,55.0667
34,60.7333
35,58.8667
36,61.2667
37,57.1333
38,49.2000
39,53.3333
40,49.6667
41,48.6000
42,48.2667
43,50.7333
44,49.2667
45,53.4667
46,51.9333
47,56.1333
48,57.4000
49,52.9333
50,51.2667
51,54.0000
52,57.6667
53,52.6000
54,52.1333
55,57.8667
56,53.6000
57,53.6000
58,57.4667
59,54.7333
60,58.6000
61,57.6000
62,60.3333
63,61.9333
64,57.8000
65,60.5333
66,57.3333
67,58.0000
68,57.5333
69,59.9333
70,57.9333
71,57.8667
72,58.7333
73,60.2000
74,56.7333
75,55.9333
76,56.2667
77,60.1333
78,58.6667
79,62.0000
80,61.0667
81,60.5333
82,61.7333
83,58.1333
84,57.7333
85,56.0000
86,53.6000
87,56.5333
88,59.8000
89,57.5333
90,60.2667
91,62.0000
92,66.5333
93,61.6667
94,64.5333
95,69.5333
96,62.0000
97,58.3333
98,62.6667
99,61.8000
100,62.6667
101,68.2667
102,66.0667
103,57.8667
104,67.0667
105,67.1333
106,62.6000
107,64.1333
108,69.2667
109,66.6667
110,66.4667
111,66.6667
112,70.6667
113,70.0667
114,72.0000
115,69.9333
116,66.0667
117,70.4000
118,68.7333
119,70.0667
120,71.4667
121,72.9333
122,70.2000
123,70.9333
124,70.3333
125,70.2000
126,73.5333
127,72.5333
128,72.0000
129,71.7333
130,77.5333
131,76.2000
132,72.6000
133,74.6667
134,74.2667
135,75.1333
136,78.2000
137,72.3333
138,75.5333
139,73.1333
140,74.4667
141,72.5333
142,72.0667
143,71.7333
144,72.9333
145,77.1333
146,77.4667
147,75.6000
148,79.2000
149,80.2667
150,82.0667
151,79.9333
152,83.0667
153,84.6000
154,85.9333
155,89.2667
156,88.3333
157,89.7333
158,92.7333
159,94.8000
160,95.6667
161,98.1333
162,100.4000
163,102.2667
164,109.0667
165,99.7333
166,95.2667
167,102.6667
168,109.6000
169,108.8667
170,104.3333
171,104.8000
172,102.2000
173,101.0000
174,109.6667
175,103.0667
176,100.7333
177,103.5333
178,107.3333
179,109.4667
180,108.7333
181,107.4000
182,109.2667
183,110.6000
184,114.3333
185,111.4000
186,114.3333
187,108.1333
188,111.0667
189,107.1333
190,106.2000
191,106.1333
192,100.3333
193,95.9333
194,94.2667
195,87.7333
196,83.4000
197,79.4667
198,72.4667
199,68.0667
200,58.8000
201,55.4667
202,50.6000
203,48.8667
204,46.2667
205,43.6667
206,38.4000
207,36.8000
208,32.9333
209,35.2000
210,33.8000
211,36.6667
212,33.2667
